TIME_PERIOD,ISO2,CHANGE_INDICATOR,MTOE,TOE_HAB,COUNTRY
2000,AL,1.065,1.8,0.58,Albania
2001,AL,1.532,1.8,0.59,Albania
2002,AL,0.492,2.1,0.68,Albania
2003,AL,0.97,2.0,0.65,Albania
2004,AL,0.444,2.1,0.7,Albania
2005,AL,0.189,2.1,0.71,Albania
2006,AL,0.345,2.1,0.69,Albania
2007,AL,1.316,1.9,0.65,Albania
2008,AL,0.978,2.1,0.7,Albania
2009,AL,0.91,2.0,0.69,Albania
2010,AL,1.191,2.0,0.7,Albania
2011,AL,1.055,2.2,0.76,Albania
2012,AL,1.487,2.0,0.69,Albania
2013,AL,1.333,2.2,0.76,Albania
2014,AL,1.198,2.3,0.78,Albania
2015,AL,1.569,2.1,0.74,Albania
2016,AL,1.464,2.2,0.75,Albania
2017,AL,1.121,2.3,0.81,Albania
2018,AL,2.028,2.4,0.82,Albania
2019,AL,1.675,2.3,0.81,Albania
2020,AL,1.498,2.2,0.76,Albania
2021,AL,1.536,2.3,0.8,Albania
2022,AL,1.518,2.3,0.8,Albania
2000,AT,1.769,27.5,3.43,Austria
2001,AT,1.501,29.1,3.62,Austria
2002,AT,1.531,29.3,3.62,Austria
2003,AT,1.464,30.9,3.8,Austria
2004,AT,0.829,31.2,3.82,Austria
2005,AT,0.628,32.7,3.98,Austria
2006,AT,0.907,32.6,3.95,Austria
2007,AT,2.137,32.2,3.88,Austria
2008,AT,1.582,32.5,3.9,Austria
2009,AT,1.544,30.7,3.67,Austria
2010,AT,0.656,32.9,3.93,Austria
2011,AT,1.373,32.0,3.81,Austria
2012,AT,1.783,31.7,3.76,Austria
2013,AT,1.098,32.1,3.78,Austria
2014,AT,2.409,30.8,3.6,Austria
2015,AT,2.167,31.7,3.66,Austria
2016,AT,2.096,32.0,3.67,Austria
2017,AT,1.741,32.8,3.73,Austria
2018,AT,2.524,31.8,3.6,Austria
2019,AT,2.37,32.3,3.63,Austria
2020,AT,2.315,29.9,3.35,Austria
2021,AT,1.395,31.6,3.53,Austria
2022,AT,2.498,30.2,3.34,Austria
2000,BE,1.484,52.4,5.12,Belgium
2001,BE,1.336,52.1,5.07,Belgium
2002,BE,1.398,50.1,4.85,Belgium
2003,BE,1.526,52.6,5.07,Belgium
2004,BE,1.089,52.4,5.03,Belgium
2005,BE,1.197,51.6,4.93,Belgium
2006,BE,1.404,51.5,4.88,Belgium
2007,BE,1.883,50.4,4.74,Belgium
2008,BE,1.256,51.2,4.78,Belgium
2009,BE,1.158,50.1,4.64,Belgium
2010,BE,0.233,53.4,4.9,Belgium
2011,BE,1.289,49.5,4.48,Belgium
2012,BE,1.13,47.1,4.24,Belgium
2013,BE,0.463,48.6,4.36,Belgium
2014,BE,2.417,45.2,4.04,Belgium
2015,BE,1.371,45.7,4.05,Belgium
2016,BE,1.882,48.5,4.28,Belgium
2017,BE,1.731,48.5,4.26,Belgium
2018,BE,2.196,46.5,4.07,Belgium
2019,BE,2.081,48.4,4.21,Belgium
2020,BE,2.572,43.9,3.8,Belgium
2021,BE,1.203,48.7,4.21,Belgium
2022,BE,2.807,45.2,3.87,Belgium
2000,BG,1.184,17.7,2.16,Bulgaria
2001,BG,1.648,18.4,2.3,Bulgaria
2002,BG,0.854,18.4,2.34,Bulgaria
2003,BG,0.181,18.7,2.41,Bulgaria
2004,BG,0.533,18.2,2.36,Bulgaria
2005,BG,0.215,19.2,2.51,Bulgaria
2006,BG,0.571,19.9,2.61,Bulgaria
2007,BG,1.883,19.5,2.59,Bulgaria
2008,BG,1.177,19.0,2.54,Bulgaria
2009,BG,1.291,16.9,2.27,Bulgaria
2010,BG,1.361,17.4,2.35,Bulgaria
2011,BG,0.422,18.6,2.53,Bulgaria
2012,BG,1.678,17.8,2.44,Bulgaria
2013,BG,1.476,16.5,2.27,Bulgaria
2014,BG,1.196,17.3,2.39,Bulgaria
2015,BG,1.438,18.0,2.5,Bulgaria
2016,BG,1.899,17.7,2.48,Bulgaria
2017,BG,0.954,18.3,2.59,Bulgaria
2018,BG,2.192,18.2,2.6,Bulgaria
2019,BG,2.112,18.0,2.59,Bulgaria
2020,BG,2.037,17.1,2.46,Bulgaria
2021,BG,1.629,18.6,2.7,Bulgaria
2022,BG,1.831,18.9,2.85,Bulgaria
2000,HR,1.601,7.8,1.75,"Croatia, Rep. of"
2001,HR,1.57,8.3,1.92,"Croatia, Rep. of"
2002,HR,1.233,8.5,1.96,"Croatia, Rep. of"
2003,HR,1.244,9.0,2.09,"Croatia, Rep. of"
2004,HR,0.633,8.9,2.08,"Croatia, Rep. of"
2005,HR,0.253,9.1,2.12,"Croatia, Rep. of"
2006,HR,0.68,9.1,2.11,"Croatia, Rep. of"
2007,HR,1.938,9.4,2.19,"Croatia, Rep. of"
2008,HR,1.416,9.2,2.13,"Croatia, Rep. of"
2009,HR,1.454,9.0,2.08,"Croatia, Rep. of"
2010,HR,0.821,8.9,2.06,"Croatia, Rep. of"
2011,HR,1.22,8.7,2.02,"Croatia, Rep. of"
2012,HR,1.809,8.2,1.92,"Croatia, Rep. of"
2013,HR,1.232,8.0,1.88,"Croatia, Rep. of"
2014,HR,2.004,7.6,1.79,"Croatia, Rep. of"
2015,HR,1.895,8.0,1.89,"Croatia, Rep. of"
2016,HR,1.807,8.1,1.93,"Croatia, Rep. of"
2017,HR,1.523,8.3,2.02,"Croatia, Rep. of"
2018,HR,2.282,8.2,2.0,"Croatia, Rep. of"
2019,HR,2.082,8.2,2.02,"Croatia, Rep. of"
2020,HR,1.989,7.8,1.92,"Croatia, Rep. of"
2021,HR,1.582,8.3,2.09,"Croatia, Rep. of"
2022,HR,2.209,8.3,2.15,"Croatia, Rep. of"
2000,CY,0.618,2.3,3.37,Cyprus
2001,CY,1.161,2.4,3.36,Cyprus
2002,CY,0.836,2.4,3.35,Cyprus
2003,CY,0.585,2.6,3.63,Cyprus
2004,CY,0.614,2.4,3.35,Cyprus
2005,CY,0.335,2.5,3.36,Cyprus
2006,CY,0.622,2.6,3.42,Cyprus
2007,CY,0.814,2.7,3.52,Cyprus
2008,CY,1.031,2.9,3.62,Cyprus
2009,CY,0.983,2.8,3.43,Cyprus
2010,CY,2.03,2.7,3.22,Cyprus
2011,CY,0.715,2.7,3.11,Cyprus
2012,CY,0.97,2.5,2.89,Cyprus
2013,CY,1.238,2.2,2.53,Cyprus
2014,CY,1.048,2.2,2.6,Cyprus
2015,CY,1.139,2.3,2.68,Cyprus
2016,CY,1.493,2.4,2.84,Cyprus
